iter	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	h_33	h_34	h_35	h_36	h_37	h_38	h_39	h_40	h_41	h_42	h_43	h_44	h_45	h_46	h_47	h_48	h_49	h_50	h_51	h_52	h_53	h_54	h_55	h_56	h_57	h_58	h_59	h_60	h_61	h_62	h_63	h_64	h_65	h_66	h_67	h_68	h_69	h_70
10	0.00649987	0.0177355	0.0249037	0.0380305	0.0526436	0.068561	0.0785455	0.0826171	0.0851795	0.0868383	0.0933763	0.0972204	0.0968628	0.0957014	0.102544	0.104125	0.113816	0.131708	0.136781	0.155011	0.15545	0.154299	0.147714	0.143743	0.130882	0.118657	0.102998	0.094622	0.0804679	0.0684076	0.0549465	0.0504491	0.0417911	0.0329956	0.0290206	0.0230282	0.0166622	0.00835633	0.00721794	0.00418208	0.00193177	0.00113755	0.000971204	0.000971204	0.000363557	0.000363557	0.000363557	4.9812e-05	4.9812e-05	4.9812e-05	4.9812e-05	4.9812e-05	4.9812e-05	4.9812e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	0.00648414	0.0177519	0.0248896	0.0380362	0.0526525	0.0686138	0.078561	0.0825559	0.0851985	0.0868577	0.0934764	0.0972434	0.0968871	0.0957257	0.102568	0.104149	0.113843	0.131744	0.136818	0.155052	0.155491	0.154348	0.147763	0.143806	0.130959	0.118752	0.103112	0.0947809	0.0806378	0.0685937	0.0551297	0.0506421	0.041981	0.0331624	0.0291665	0.0231388	0.0167606	0.00841405	0.00727012	0.00422384	0.00195178	0.00114912	0.00098122	0.00098122	0.000367178	0.000367178	0.000367178	5.03443e-05	5.03443e-05	5.03443e-05	5.03443e-05	5.03443e-05	5.03443e-05	5.03443e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0.00646128	0.0177637	0.024885	0.0380823	0.0526181	0.0685744	0.0783968	0.0826515	0.0852277	0.0869018	0.0935235	0.0972909	0.0969106	0.0957492	0.102592	0.104172	0.11387	0.13178	0.136855	0.155092	0.155531	0.154396	0.14781	0.143867	0.131036	0.118845	0.103224	0.0949384	0.0808061	0.0687784	0.0553115	0.0508337	0.0421694	0.033328	0.0293113	0.0232486	0.0168583	0.00847137	0.00732195	0.00426533	0.00197168	0.00116062	0.000991168	0.000991168	0.000370775	0.000370775	0.000370775	5.08742e-05	5.08742e-05	5.08742e-05	5.08742e-05	5.08742e-05	5.08742e-05	5.08742e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	0.00643633	0.0177904	0.0248741	0.0381266	0.0526327	0.0685903	0.0784112	0.0825237	0.0851922	0.0870267	0.0936344	0.0973124	0.0969334	0.0957719	0.102615	0.104194	0.113895	0.131815	0.13689	0.155131	0.155569	0.154442	0.147857	0.143927	0.131111	0.118936	0.103335	0.0950943	0.080973	0.0689615	0.0554918	0.0510238	0.0423565	0.0334925	0.029455	0.0233577	0.0169553	0.00852831	0.00737342	0.00430654	0.00199147	0.00117203	0.00100105	0.00100105	0.00037435	0.00037435	0.00037435	5.14017e-05	5.14017e-05	5.14017e-05	5.14017e-05	5.14017e-05	5.14017e-05	5.14017e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	0.00642977	0.0177907	0.0248806	0.0381722	0.052647	0.0686059	0.0783886	0.0823878	0.0852823	0.0870442	0.0937689	0.0973332	0.0969555	0.0957089	0.102658	0.104237	0.113941	0.131869	0.136924	0.154981	0.155419	0.1543	0.147714	0.143798	0.132124	0.119027	0.103445	0.0952488	0.0811383	0.0691431	0.0556709	0.0512125	0.0425423	0.0336558	0.0295977	0.0234659	0.0170517	0.00858486	0.00742453	0.00434748	0.00201113	0.00118337	0.00101086	0.00101086	0.0003779	0.0003779	0.0003779	5.19268e-05	5.19268e-05	5.19268e-05	5.19268e-05	5.19268e-05	5.19268e-05	5.19268e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0.00642007	0.0177902	0.0248783	0.0382221	0.0526418	0.0685791	0.0784289	0.0823973	0.0853302	0.0870247	0.0937521	0.0973168	0.0970864	0.0956999	0.102649	0.104227	0.113935	0.132022	0.136957	0.155016	0.155454	0.154343	0.147758	0.143855	0.132197	0.119116	0.103554	0.0954017	0.0813021	0.0693232	0.0558484	0.0513997	0.0427266	0.0338179	0.0297393	0.0235734	0.0171474	0.00864101	0.00747529	0.00438815	0.00203068	0.00119463	0.00102059	0.00102059	0.000381428	0.000381428	0.000381428	5.24494e-05	5.24494e-05	5.24494e-05	5.24494e-05	5.24494e-05	5.24494e-05	5.24494e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	0.00640241	0.0178131	0.0248948	0.0382369	0.0526551	0.0685808	0.0783565	0.0823637	0.08544	0.0870411	0.0937712	0.0973361	0.097107	0.0957203	0.102669	0.104247	0.113957	0.132053	0.136989	0.155051	0.155489	0.154386	0.147801	0.143911	0.132268	0.119204	0.103661	0.0955531	0.0814643	0.0695018	0.0560246	0.0515854	0.0429096	0.0339788	0.0298799	0.02368	0.0172425	0.00869676	0.00752568	0.00442853	0.00205012	0.00120581	0.00103026	0.00103026	0.000384931	0.000384931	0.000384931	5.29695e-05	5.29695e-05	5.29695e-05	5.29695e-05	5.29695e-05	5.29695e-05	5.29695e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0.0063878	0.0178173	0.0249014	0.0382032	0.0525848	0.0685253	0.0784378	0.0824668	0.0854543	0.0870568	0.0937895	0.0973546	0.0971268	0.09574	0.102689	0.104265	0.113979	0.132083	0.137019	0.155084	0.155522	0.154427	0.147842	0.143966	0.132338	0.11929	0.103766	0.0957029	0.081625	0.0696788	0.0561993	0.0517696	0.0430912	0.0341385	0.0300194	0.0237859	0.0173369	0.00875212	0.00757572	0.00446865	0.00206943	0.00121691	0.00103986	0.00103986	0.000388411	0.000388411	0.000388411	5.34871e-05	5.34871e-05	5.34871e-05	5.34871e-05	5.34871e-05	5.34871e-05	5.34871e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0.00636915	0.0178198	0.0248835	0.038139	0.0526327	0.0685411	0.0783882	0.0824857	0.0855183	0.087067	0.0938022	0.0971269	0.0971458	0.0957589	0.102708	0.104529	0.114	0.132112	0.137048	0.155116	0.155553	0.154466	0.147882	0.144019	0.132407	0.119376	0.103871	0.0958511	0.0817841	0.0698542	0.0563726	0.0519523	0.0432714	0.034297	0.0301578	0.0238909	0.0174307	0.00880708	0.00762539	0.00450848	0.00208863	0.00122793	0.00104939	0.00104939	0.000391867	0.000391867	0.000391867	5.40022e-05	5.40022e-05	5.40022e-05	5.40022e-05	5.40022e-05	5.40022e-05	5.40022e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	0.00636803	0.0178507	0.0248953	0.0381417	0.0526762	0.0685485	0.0784101	0.0824414	0.0854764	0.0871924	0.0938189	0.0971437	0.0971638	0.0957769	0.102725	0.104545	0.114019	0.132139	0.137076	0.155146	0.155584	0.154504	0.14792	0.144071	0.132474	0.119459	0.103974	0.0959977	0.0819416	0.0700281	0.0565444	0.0521335	0.0434501	0.0344542	0.0302951	0.0239952	0.0175237	0.00886164	0.0076747	0.00454803	0.00210772	0.00123888	0.00105885	0.00105885	0.000395299	0.000395299	0.000395299	5.45149e-05	5.45149e-05	5.45149e-05	5.45149e-05	5.45149e-05	5.45149e-05	5.45149e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	0.00634295	0.0178428	0.02489	0.0382207	0.0526275	0.0685907	0.0784504	0.0824176	0.0854552	0.0872617	0.0938213	0.0971462	0.0972221	0.0957941	0.102742	0.104561	0.114038	0.132165	0.137102	0.155175	0.155612	0.154541	0.147958	0.144122	0.13254	0.119542	0.104076	0.0961427	0.0820975	0.0702004	0.0567147	0.0523132	0.0436274	0.0346103	0.0304314	0.0240986	0.0176161	0.0089158	0.00772364	0.00458731	0.00212668	0.00124974	0.00106823	0.00106823	0.000398708	0.000398708	0.000398708	5.50249e-05	5.50249e-05	5.50249e-05	5.50249e-05	5.50249e-05	5.50249e-05	5.50249e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	0.0063656	0.0178544	0.024883	0.0382173	0.0526571	0.0685464	0.0784172	0.0825172	0.0854924	0.0871341	0.0935577	0.0969733	0.0970503	0.0960442	0.102758	0.104576	0.114056	0.13219	0.137128	0.155203	0.15564	0.154576	0.147993	0.144171	0.132604	0.119623	0.104176	0.0962862	0.0822519	0.0703711	0.0568837	0.0524914	0.0438034	0.0347652	0.0305665	0.0242012	0.0177079	0.00896957	0.00777223	0.00462632	0.00214553	0.00126052	0.00107755	0.00107755	0.000402093	0.000402093	0.000402093	5.55326e-05	5.55326e-05	5.55326e-05	5.55326e-05	5.55326e-05	5.55326e-05	5.55326e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
