s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_tlp	s_leafarea
Aniba_guianensis	61.32121040626419	0.0223070428	0.00153298415	0.5108200224383885	0.34511442500000006	43.7637995898053	0.23883409109549045	1	0.0019723865877712	-1.264117652176569	40.36034869486601
Aniba_hostmanniana	99.2589333569989	0.02043054133333333	0.00112972915798321	0.608900625	0.3729463350000002	43.28604885426511	0.24162021272981313	1	0.0019723865877712	-1.025	305.26193295844274
Aniba_kappleri	93.05296825852632	0.02379429295637335	0.00116565711883849	0.5908070175438597	0.33568342500000015	44.216764452958486	0.24697881384329343	1	0.0019723865877712	-1.3100869163187918	95
Annona_densicoma	81.12867185162968	0.02299587148279147	8.939156434961165e-4	0.5187777777777778	0.38847562500000016	43.712127220220864	0.2470127678281249	1	0.0019723865877712	-1.6893462247569482	95.34542726657928
Annona_exsucca	97.50420773700918	0.023110505	9.671960982e-4	0.4010984196897346	0.4571375	41.99584522888433	0.2528138926525185	1	0.0019723865877712	-1.64017348036605	40.628116
Anomospermum_reticulatum	87.81281809818216	0.0159	6.2e-4	0.64	0.42066426	42.19717756279082	0.25818274235726424	1	0.0019723865877712	-1.69804372667031	23.5
Anthodon_decussatus	84.84212426682903	0.01812013400104483	6.905467228666033e-4	0.6407385034283267	0.45828147	38.4586309172377	0.25603096721603835	1	0.0019723865877712	-1.7096786918022369	74.15869023317538
Aparisthmium_cordatum	25.013828508198376	0.02982308544626835	9.850000000000002e-4	0.3862001493995892	0.19311	40.443165774770925	0.22581936453295065	1	0.0019723865877712	-1.3	215.73332598375612
Apeiba_glabra	83.71532494182009	0.02052840266010018	8.109821862136901e-4	0.3223437088816796	0.3344999999999999	39.718952170324414	0.25596156695545014	1	0.0019723865877712	-1.7685	59.860575322655755
Apuleia_leiocarpa	57.47912268723537	0.02670558586	0.00113015133366831	0.7850508	0.7567499999999999	43.14474402751031	0.30203065707795607	1	0.0019723865877712	-1.7523696503817812	24.537745098235295
Aspidosperma_album	127.85070394890424	0.01607655035467541	7.668594283039062e-4	0.7297078359961372	0.3699	41.02584631543949	0.20791701826051265	1	0.0019723865877712	-1.622721081070309	77.10352011251759
Aspidosperma_auriculatum	86.96806094376912	0.02420091455060198	8.393870074458723e-4	0.7504889136904762	2.0069244999999998	41.94133713234584	0.2449338739076521	1	0.0019723865877712	-1.7201016589776854	95
Aspidosperma_desmanthum	91.17944733950544	0.02269891534562215	8.39843366762729e-4	0.61	0.5329564999999999	42.98360469538576	0.15752170413224814	1	0.0019723865877712	-1.6129551158806676	80.1788436387261
Aspidosperma_eteanum	87.73776003420917	0.0242053357332764	8.352115979723425e-4	0.7504889136904762	0.30283	42.38528507923521	0.242329593075532	1	0.0019723865877712	-1.6753039289599092	95
Aspidosperma_excelsum	94.52398178610694	0.02097108910729624	5.645744129687157e-4	0.7555305843569341	0.625846015	45.286940052704296	0.31268681579088564	1	0.0019723865877712	-1.6265779707508932	68.84238276540671
Astrocaryum_aculeatum	79.70388167778997	0.02257791285946139	9.069487759048716e-4	0.508	0.06	38.934766896740605	0.24299048288340216	1	0.0019723865877712	-1.694352755462213	150.03865815993552
Astronium_graveolens	70.65170671596476	0.02708924354819444	0.00155237908399635	0.8080931834701236	0.384254	52.086056903596656	0.36766997599528706	1	0.0019723865877712	-1.6520003543171884	108.2047954581914
Astronium_lecointei	73.24924352741614	0.0218012376	9.3865163844e-4	0.7883735606060606	0.985273	40.675276860793936	0.26301819095422685	1	0.0019723865877712	-1.7457476764197803	44.719520000396706
Bagassa_guianensis	73.64396875991002	0.02674545250599999	8.566e-4	0.7075594202898551	0.5964273349999999	47.44784809082595	0.24789578264344725	1	0.0019723865877712	-1.6988584340057242	75.88333333333324
Batocarpus_amazonicus	50.38930516112379	0.02290820263777777	0.0023	0.4341803109138337	0.5411966549999998	41.56774393302288	0.2583447928490066	1	0.0019723865877712	-1.70316263916762	46.84898328678999
Bellucia_grossularioides	166.99751144550737	0.01869652777777777	6.933526826156733e-4	0.5629180557333333	0.224877	37.243587188911974	0.2624010946962896	1	0.0019723865877712	-1.7361946553927723	243.667695825978
Bertholletia_excelsa	74.10820263611097	0.02253122989852398	0.0010040680432764	0.4007179362490592	1.254725	42.79331186850134	0.11765197935105172	1	0.0019723865877712	-1.6633755958524297	52.98938318272512
Bignonia_aequinoctialis	86.21337849583536	0.02191225345333333	9.044375014191592e-4	0.5436517847141633	0.5161773700000002	38.675247300443395	0.23022004735932647	1	0.0019723865877712	-1.5784937585401386	76.4939818268587
Bignonia_binata	93.03798936686992	0.023873835754061	9.334969124208968e-4	0.6407385034283267	0.4850062350000001	39.26353418675604	0.2312366545131133	1	0.0019723865877712	-1.5878527849985915	33.12985410828345
Bignonia_decora	97.01351720122116	0.02307716570530554	9.460234601180338e-4	0.6407385034283267	0.5733101	40.15870701855546	0.2411863412016678	1	0.0019723865877712	-1.5149867015017384	115.20964756457391
Bignonia_prieurei	96.9343305403399	0.02291586009551919	8.753671531138877e-4	0.6407385034283267	0.550215575	37.166705919086226	0.23956724546362987	1	0.0019723865877712	-1.6267517683224435	145.34070235055853
Bowdichia_nitida	82.28596551780214	0.02548311349634474	9.641303946492836e-4	0.8020833333333334	0.5257520000000001	44.100668982216376	0.18507179365092785	1	0.0019723865877712	-1.6408042484393752	7
Brosimum_acutifolium	61.43327922826333	0.0209750276	7.547432349999999e-4	0.6319091410136798	0.7482454999999999	46.18727537581452	0.20975394845053247	1	0.0019723865877712	-1.6389993713268978	58.21946397463752
Brosimum_guianense	69.37187195410056	0.02252642328491803	9.217942999e-4	0.8435908975225116	0.25645000000000007	33.64238504250346	0.12642639642573916	1	0.0019723865877712	-2.0752	30.39342019758087
Brosimum_lactescens	68.77422927865511	0.02090867249241758	0.00105905397540714	0.5611256625629976	0.4643499999999999	42.646288130924354	0.26702770744224635	1	0.0019723865877712	-1.7194455264249684	64.11978831453354
Brosimum_parinarioides	89.64554788725576	0.018793018	8.554358471091625e-4	0.6046574816493111	0.345	45.811988043147494	0.2463387908007129	1	0.0019723865877712	-1.6546794490517018	148.77468858251342
Brosimum_rubescens	90.11108057650286	0.0182080185220981	6.165716415548534e-4	0.8065382014652015	0.4243822950000001	49.62674549669566	0.2914538277286715	1	0.0019723865877712	-2.28	28.07534489513239
Brunfelsia_grandiflora	75.8201185220895	0.02297486710583378	9.023508723686356e-4	0.4881733196057969	0.5092762350000001	39.95958077438038	0.23625042121374012	1	0.0019723865877712	-1.7274702717079793	122.32166151290824
Byrsonima_aerugo	76.2669562690928	0.02477442724331432	8.586662748405205e-4	0.6261114285714285	0.41698751	39.14794392725957	0.21581158635064748	1	0.0019723865877712	-1.7340210893962795	107.619944
Byrsonima_arthropoda	67.12238437747928	0.0257834614247619	9.054380952380964e-4	0.5866308600476214	0.42539999999999994	39.66697416124262	0.21456500936751632	1	0.0019723865877712	-1.701667261953255	92.46949642741905
Byrsonima_densa	74.03521704424736	0.02487936673997164	8.01861422599814e-4	0.62	0.390535	37.59929118135362	0.19711671083261964	1	0.0019723865877712	-1.7178079448751598	75.93535764861939
Byrsonima_stipulacea	71.08099709362916	0.02479428816535889	8.541939347335679e-4	0.7225752380952382	0.4041236050000002	39.44724322654074	0.22304270720742936	1	0.0019723865877712	-1.737144556672655	95
Campomanesia_aromatica	149.0090895544629	0.0148	7.678791354504956e-4	0.8174	0.49878	40.55712782592954	0.24586788339964055	1	0.0019723865877712	-1.732847894576682	92.18312452381568
Capirona_macrophylla	83.93440644155481	0.02243581987912126	7.302597360068569e-4	0.593	0.407	40.6728984528748	0.2537877554390019	1	0.0019723865877712	-1.6141007898405568	127.65678138287876
Caryocar_villosum	89.07756318354014	0.0213	7.65856021111635e-4	0.7702142857142857	1.7437140000000002	44.81888582979259	0.2920917483181968	1	0.0019723865877712	-1.8598729712924964	90
Casearia_bicolor	50.432632658632905	0.0264804397567726	8.321678126250532e-4	0.6246153846153846	0.624381	38.748132008205715	0.22537469872719673	1	0.0019723865877712	-1.5987306671915693	58.84231414436009
Casearia_combaymensis	23.71167228013004	0.02201799933333333	8.386480572084818e-4	0.6246153846153846	0.5303376199999998	36.0317464424448	0.28114290429794947	1	0.0019723865877712	-1.6454011474598302	86.56195564172373
Casearia_decandra	44.95708467414429	0.02795523140777777	7.085498266666667e-4	0.6461461047110356	0.4453758750000001	37.57635999102698	0.2299637899017257	1	0.0019723865877712	-1.6248227713212693	12.501507220640809
Casearia_spruceana	49.642498919165064	0.02589649080304506	8.791694572861926e-4	0.6246153846153846	0.468165	38.55063202569509	0.2305967385592436	1	0.0019723865877712	-1.6244136533398918	59.64297880876632
Casearia_sylvestris	68.77326913241689	0.02465069238886904	7.052343206666666e-4	0.6913781483522959	0.4967658499999999	28.248291026780542	0.15718246144111936	1	0.0019723865877712	-1.688680894758646	47.15118257457502
