iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
144	5328.75	441	71	24.6917	20.763	278253	0.0807803	0.0265717	0	0.020337	0.00551999	0.00552151
145	5333	441	71	24.6923	20.7637	278263	0.0741919	0.0221941	0	0.0201835	0.0054786	0.00552101
146	5333.75	441	71	24.6933	20.7643	278272	0.0812532	0.025706	0	0.0211442	0.0057451	0.00552049
147	5336.25	441.25	71	24.6943	20.7671	278282	0.0770622	0.0240277	0	0.0202983	0.00551128	0.00551978
148	5338.75	441.25	71	24.6958	20.7679	278295	0.0767662	0.0240681	0	0.0201265	0.00547006	0.00551918
149	5342.75	441	71	24.6925	20.7651	278285	0.0823926	0.0274251	0	0.0205158	0.00557789	0.00551844
150	5347.5	441	71	24.6938	20.7658	278296	0.0739289	0.0206634	0	0.0210937	0.0057342	0.00551778
151	5350.5	441	71	24.6942	20.7664	278304	0.0835433	0.0274265	0	0.0210577	0.00573023	0.00551692
152	5354	441	71	24.6937	20.767	278305	0.084447	0.0271869	0	0.0216487	0.0058914	0.00551603
153	5356.25	441	71	24.6949	20.7678	278316	0.0788223	0.024724	0	0.0206578	0.00561289	0.0055153
154	5359.25	441	71	24.6951	20.7684	278321	0.0867315	0.0285703	0	0.0217935	0.00593302	0.00551453
155	5361	441	71	24.6949	20.7691	278322	0.079339	0.0248718	0	0.0208019	0.00565239	0.00551372
156	5366	441	71	24.6963	20.7699	278335	0.0796073	0.0256917	0	0.0203726	0.00553626	0.0055129
157	5369.5	440.75	71	24.685	20.7592	278264	0.0612086	0.0147109	0	0.0190984	0.00519866	0.00550882
158	5370.25	440.75	71	24.6859	20.7598	278273	0.0805638	0.0266472	0	0.0201689	0.00549205	0.00550796
159	5375.5	440.5	71	24.6786	20.7518	278247	0.0786987	0.0249385	0	0.0204464	0.00556469	0.00550474
160	5377.75	440.5	71	24.6797	20.7524	278257	0.0850353	0.0283473	0	0.0211355	0.00575856	0.00550383
161	5378.75	440.5	71	24.6809	20.7531	278267	0.0845582	0.0282018	0	0.0210113	0.00571927	0.00550296
162	5382.25	440.5	71	24.6823	20.7539	278279	0.0759092	0.0239997	0	0.0197628	0.0053739	0.00550201
