iter	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	h_33	h_34	h_35	h_36	h_37	h_38	h_39	h_40	h_41	h_42	h_43	h_44	h_45	h_46	h_47	h_48	h_49	h_50	h_51	h_52	h_53	h_54	h_55	h_56	h_57	h_58	h_59	h_60	h_61	h_62	h_63	h_64	h_65	h_66	h_67	h_68	h_69	h_70
10	0.000401598	0.00174042	0.00192707	0.00221014	0.00271797	0.00351822	0.0039603	0.00412736	0.00437218	0.00450105	0.00493508	0.0050858	0.0050359	0.00488072	0.00501727	0.00495712	0.00536387	0.00616658	0.00639492	0.00722102	0.00717891	0.0071149	0.00678492	0.00671843	0.00635411	0.00603737	0.00560346	0.0056869	0.00515304	0.00504578	0.00436495	0.00419238	0.00371064	0.00304636	0.00266477	0.00208409	0.00170721	0.000883515	0.000783072	0.000531539	0.000254405	0.000155643	0.000147445	0.000147445	4.79715e-05	4.79715e-05	4.79715e-05	6.68975e-06	6.68975e-06	6.68975e-06	6.68975e-06	6.68975e-06	6.68975e-06	6.68975e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	0.00039013	0.00169911	0.00186594	0.0021358	0.00262873	0.00340768	0.00383048	0.00398909	0.00422896	0.00435403	0.00477675	0.00491948	0.00487125	0.0047206	0.00485265	0.00479443	0.00518752	0.00596385	0.00618468	0.00698361	0.00694289	0.00688099	0.00656185	0.00649755	0.00614521	0.00583889	0.00541924	0.00549993	0.00498362	0.00487989	0.00422145	0.00405455	0.00358865	0.00294621	0.00257716	0.00201557	0.00165108	0.000854468	0.000757328	0.000514064	0.000246041	0.000150526	0.000142598	0.000142598	4.63943e-05	4.63943e-05	4.63943e-05	6.46981e-06	6.46981e-06	6.46981e-06	6.46981e-06	6.46981e-06	6.46981e-06	6.46981e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0.000380572	0.00166372	0.00181689	0.00207078	0.0025449	0.0032986	0.00370151	0.00386395	0.00409426	0.00421717	0.00462726	0.00476563	0.00471661	0.00456981	0.00469567	0.00463803	0.00501764	0.00576795	0.00598154	0.0067542	0.006715	0.00665505	0.00634641	0.00628422	0.00594342	0.00564711	0.00524107	0.00531911	0.00481978	0.00471946	0.00408266	0.00392125	0.00347067	0.00284935	0.00249243	0.00194931	0.0015968	0.000826376	0.000732429	0.000497163	0.000237952	0.000145577	0.000137909	0.000137909	4.4869e-05	4.4869e-05	4.4869e-05	6.25711e-06	6.25711e-06	6.25711e-06	6.25711e-06	6.25711e-06	6.25711e-06	6.25711e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	0.000374188	0.00165084	0.00177726	0.00201426	0.00246944	0.00320061	0.00359314	0.00374633	0.00397721	0.00410371	0.00450325	0.00463255	0.0045861	0.00444265	0.0045599	0.00450396	0.00486656	0.00558997	0.00579405	0.00654388	0.00650339	0.00644433	0.00614792	0.00608539	0.00575537	0.00546463	0.00507175	0.00514723	0.00466132	0.0045643	0.00394844	0.00379233	0.00335656	0.00275567	0.00241049	0.00188522	0.0015443	0.000799207	0.000708349	0.000480818	0.000230129	0.000140791	0.000133375	0.000133375	4.33939e-05	4.33939e-05	4.33939e-05	6.05139e-06	6.05139e-06	6.05139e-06	6.05139e-06	6.05139e-06	6.05139e-06	6.05139e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	0.0003776	0.00166664	0.00178468	0.00200695	0.00244565	0.00316785	0.00355903	0.00370945	0.00394852	0.00407032	0.00447418	0.00459443	0.00454786	0.00439168	0.00450273	0.00444131	0.00478723	0.00549376	0.00568131	0.00640015	0.00635721	0.00628719	0.00599321	0.00592591	0.00563427	0.00531702	0.0049268	0.00499791	0.00451871	0.00442169	0.00382319	0.00367222	0.00324621	0.00266507	0.00233124	0.00182324	0.00149353	0.000772932	0.000685061	0.00046501	0.000222563	0.000136162	0.000128991	0.000128991	4.19672e-05	4.19672e-05	4.19672e-05	5.85244e-06	5.85244e-06	5.85244e-06	5.85244e-06	5.85244e-06	5.85244e-06	5.85244e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0.00036924	0.0016352	0.0017329	0.00195371	0.00236739	0.00306559	0.00344573	0.00359042	0.00382367	0.00394049	0.00433167	0.00444722	0.00440575	0.00424774	0.00435443	0.00429493	0.00462891	0.00531769	0.00549466	0.0061898	0.00614845	0.00608067	0.00579636	0.00573127	0.00544922	0.0051424	0.00476482	0.0048336	0.00437015	0.00427632	0.00369749	0.00355149	0.00313948	0.00257745	0.0022546	0.0017633	0.00144443	0.000747521	0.000662538	0.000449722	0.000215246	0.000131685	0.00012475	0.00012475	4.05875e-05	4.05875e-05	4.05875e-05	5.66003e-06	5.66003e-06	5.66003e-06	5.66003e-06	5.66003e-06	5.66003e-06	5.66003e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	0.000359546	0.00160722	0.00168551	0.00189232	0.00229151	0.00296613	0.00333087	0.00347294	0.00370608	0.00381419	0.00419311	0.0043042	0.00426356	0.00410935	0.00421194	0.0041543	0.00447688	0.00514302	0.00531415	0.00598637	0.00594655	0.00588095	0.00560598	0.00554303	0.00527025	0.00497352	0.00460817	0.00467468	0.00422647	0.00413573	0.00357593	0.00343473	0.00303627	0.00249272	0.00218047	0.00170533	0.00139694	0.000722945	0.000640756	0.000434937	0.000208169	0.000127356	0.000120648	0.000120648	3.92531e-05	3.92531e-05	3.92531e-05	5.47395e-06	5.47395e-06	5.47395e-06	5.47395e-06	5.47395e-06	5.47395e-06	5.47395e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0.000353105	0.00158655	0.00164562	0.00183307	0.00221617	0.00287311	0.0032322	0.00336904	0.00359273	0.00369901	0.0040675	0.00417541	0.00413529	0.00398357	0.00407983	0.00402413	0.00433369	0.00497726	0.00514256	0.00579628	0.00575586	0.00569192	0.00542645	0.00536556	0.0051017	0.00481071	0.00445718	0.00452151	0.00408752	0.00399976	0.00345837	0.0033218	0.00293645	0.00241076	0.00210879	0.00164926	0.00135101	0.000699177	0.00061969	0.000420637	0.000201325	0.000123169	0.000116682	0.000116682	3.79626e-05	3.79626e-05	3.79626e-05	5.29399e-06	5.29399e-06	5.29399e-06	5.29399e-06	5.29399e-06	5.29399e-06	5.29399e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0.000356123	0.00160971	0.00167207	0.00184002	0.0022232	0.00287433	0.00322919	0.00336627	0.00359368	0.00369588	0.00406456	0.00415859	0.00412192	0.00395891	0.00404557	0.00399126	0.00427978	0.00491343	0.0050687	0.00570712	0.00566424	0.0055878	0.00531976	0.0052486	0.00498215	0.00468972	0.00433548	0.00439567	0.00396599	0.00387775	0.00335105	0.00322235	0.00284374	0.00233534	0.00204329	0.00159888	0.00131043	0.000680027	0.000603154	0.000406808	0.000194706	0.00011912	0.000112846	0.000112846	3.67145e-05	3.67145e-05	3.67145e-05	5.11994e-06	5.11994e-06	5.11994e-06	5.11994e-06	5.11994e-06	5.11994e-06	5.11994e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	0.000371416	0.00166817	0.00176863	0.00199525	0.00242346	0.00312876	0.00351474	0.00366094	0.0039042	0.0040226	0.00442519	0.00453719	0.00450984	0.00434219	0.00446762	0.0044301	0.00475931	0.00549417	0.00567652	0.00640473	0.00635773	0.00629655	0.00599536	0.00591313	0.00562844	0.00529564	0.0049027	0.00496953	0.00450953	0.00438472	0.00380274	0.0036548	0.00322999	0.00266175	0.00233196	0.00182785	0.00149079	0.000779591	0.000691633	0.000469693	0.000223465	0.000137472	0.000128504	0.000128504	4.17423e-05	4.17423e-05	4.17423e-05	5.86152e-06	5.86152e-06	5.86152e-06	5.86152e-06	5.86152e-06	5.86152e-06	5.86152e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	0.000367413	0.00166596	0.00175989	0.00195972	0.00236496	0.00305632	0.00343832	0.00358241	0.00382477	0.00394874	0.00434041	0.00444812	0.00442428	0.00425305	0.00437112	0.00433203	0.00464266	0.00535014	0.00551833	0.00622301	0.00617169	0.00610957	0.00581737	0.00573514	0.00545807	0.00513001	0.0047481	0.00481274	0.00436218	0.00424148	0.00367772	0.00353464	0.00312379	0.00257424	0.0022553	0.00176775	0.00144178	0.00075396	0.000668894	0.000454251	0.000216118	0.000132952	0.000124279	0.000124279	4.037e-05	4.037e-05	4.037e-05	5.66882e-06	5.66882e-06	5.66882e-06	5.66882e-06	5.66882e-06	5.66882e-06	5.66882e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	0.000385071	0.00172074	0.00186075	0.00211546	0.00256783	0.00331115	0.00372231	0.00388361	0.00413815	0.0042604	0.00468134	0.00480949	0.0047942	0.0046414	0.00478478	0.00476137	0.00511447	0.00592479	0.00611821	0.00690901	0.00685364	0.00680592	0.00647635	0.00638469	0.00608952	0.00572559	0.00530553	0.00538632	0.00490094	0.0047446	0.00412559	0.00396312	0.00350786	0.00289704	0.00254122	0.00198636	0.00161414	0.000848975	0.000753159	0.000514394	0.000243574	0.00015042	0.000139113	0.000139113	4.5198e-05	4.5198e-05	4.5198e-05	6.37983e-06	6.37983e-06	6.37983e-06	6.37983e-06	6.37983e-06	6.37983e-06	6.37983e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
