iter	LAI
1085	5.54974
1086	5.54969
1087	5.55443
1088	5.55126
1089	5.54174
1090	5.54567
1091	5.54699
1092	5.5406
1093	5.54815
1094	5.55213
1095	5.55237
1096	5.54699
1097	5.54069
1098	5.53347
1099	5.5259
1100	5.51854
1101	5.51129
1102	5.50411
1103	5.49666
1104	5.50588
1105	5.49855
1106	5.4916
1107	5.49548
1108	5.48645
1109	5.47975
1110	5.47273
1111	5.46535
1112	5.45733
1113	5.46735
1114	5.46144
1115	5.45371
1116	5.44619
1117	5.45105
1118	5.45781
1119	5.45766
1120	5.46631
1121	5.46038
1122	5.46573
1123	5.46977
1124	5.4768
1125	5.47333
1126	5.48099
1127	5.48263
1128	5.49155
1129	5.48781
1130	5.49459
1131	5.4985
1132	5.49106
1133	5.4976
1134	5.49023
1135	5.48254
1136	5.47472
1137	5.46684
1138	5.45908
1139	5.46068
1140	5.45502
1141	5.44814
1142	5.45778
1143	5.45097
1144	5.44348
1145	5.44417
1146	5.43649
1147	5.43688
1148	5.44203
1149	5.4497
1150	5.45604
1151	5.44865
1152	5.44758
1153	5.44639
1154	5.45326
1155	5.44534
1156	5.44465
1157	5.43675
1158	5.42872
1159	5.43564
1160	5.42774
1161	5.4211
1162	5.42889
1163	5.42319
1164	5.41526
1165	5.40724
1166	5.41421
1167	5.40676
1168	5.39918
1169	5.39317
1170	5.38687
1171	5.39521
1172	5.39015
1173	5.38441
1174	5.3809
1175	5.37289
1176	5.36471
1177	5.35658
1178	5.34883
1179	5.3567
1180	5.34906
1181	5.35577
1182	5.3489
1183	5.35523
1184	5.36048
1185	5.35235
1186	5.34528
1187	5.3459
1188	5.33811
1189	5.32822
1190	5.31999
1191	5.31179
1192	5.30331
1193	5.31159
1194	5.30404
1195	5.29567
1196	5.30301
1197	5.31094
1198	5.31807
1199	5.31021
1200	5.302
1201	5.29444
1202	5.30255
1203	5.30806
1204	5.30772
1205	5.29989
1206	5.29183
1207	5.28256
1208	5.27459
1209	5.26618
1210	5.266
1211	5.26143
1212	5.25339
1213	5.24803
1214	5.25574
1215	5.24907
1216	5.24685
1217	5.24045
1218	5.2326
1219	5.22938
1220	5.22191
1221	5.22917
1222	5.22129
1223	5.2135
1224	5.20557
1225	5.19766
1226	5.20335
1227	5.1951
1228	5.18723
1229	5.19188
1230	5.19851
1231	5.19856
1232	5.19024
1233	5.18201
1234	5.17384
1235	5.16571
1236	5.17079
1237	5.16465
1238	5.15758
1239	5.14928
1240	5.13971
1241	5.13187
1242	5.13346
1243	5.12604
1244	5.11888
1245	5.1124
1246	5.10724
1247	5.0997
1248	5.09179
1249	5.08445
1250	5.07625
1251	5.06924
1252	5.06125
1253	5.05353
1254	5.04838
1255	5.04568
1256	5.04764
1257	5.05476
1258	5.05943
1259	5.0615
1260	5.05332
1261	5.04549
1262	5.04016
1263	5.03366
1264	5.04134
1265	5.04898
1266	5.0551
1267	5.048
1268	5.05129
1269	5.05328
1270	5.04497
1271	5.03702
1272	5.03982
1273	5.03235
1274	5.03442
1275	5.04162
1276	5.04906
1277	5.05621
1278	5.06285
1279	5.05511
1280	5.05906
1281	5.06747
1282	5.07597
1283	5.08371
1284	5.09066
1285	5.0945
1286	5.10224
1287	5.10749
1288	5.10861
1289	5.11365
1290	5.11937
1291	5.12627
1292	5.1324
1293	5.13834
1294	5.14426
1295	5.15064
1296	5.15771
1297	5.16213
1298	5.16739
1299	5.17356
1300	5.17956
1301	5.18452
1302	5.18437
1303	5.17574
1304	5.17982
1305	5.18726
1306	5.19166
1307	5.19717
1308	5.20128
1309	5.2075
1310	5.21353
1311	5.21805
1312	5.22369
1313	5.22956
1314	5.23555
1315	5.24141
1316	5.24626
1317	5.25208
1318	5.25278
1319	5.25851
1320	5.26363
1321	5.26882
1322	5.27444
1323	5.28014
1324	5.28503
1325	5.29018
1326	5.29372
1327	5.29961
1328	5.30309
1329	5.30651
1330	5.31194
1331	5.31689
1332	5.32204
1333	5.32668
1334	5.33191
1335	5.33591
1336	5.33998
1337	5.34443
1338	5.34799
1339	5.35145
1340	5.35676
1341	5.36166
1342	5.36676
1343	5.36835
1344	5.37333
1345	5.37931
1346	5.3829
1347	5.36931
1348	5.37441
1349	5.37834
1350	5.38306
1351	5.38757
1352	5.39195
1353	5.39619
1354	5.39969
1355	5.40291
1356	5.40398
1357	5.40778
1358	5.41111
1359	5.41503
1360	5.41893
1361	5.42237
1362	5.42685
1363	5.43099
1364	5.43553
1365	5.43946
1366	5.44222
1367	5.44693
1368	5.45029
1369	5.45619
1370	5.46201
1371	5.46494
1372	5.46603
1373	5.47079
1374	5.47395
1375	5.4795
1376	5.48393
1377	5.48735
1378	5.49171
1379	5.4967
1380	5.49937
1381	5.50292
1382	5.50647
1383	5.50962
1384	5.51232
1385	5.51713
1386	5.51775
1387	5.50917
1388	5.51585
1389	5.52164
1390	5.51313
1391	5.51888
1392	5.52343
1393	5.52992
1394	5.53321
1395	5.53825
1396	5.54436
1397	5.54865
1398	5.55326
1399	5.55481
1400	5.55818
1401	5.56292
1402	5.55617
1403	5.56307
1404	5.56704
1405	5.56978
1406	5.56999
1407	5.56321
1408	5.55584
1409	5.55922
1410	5.56235
1411	5.56884
1412	5.57235
1413	5.57761
1414	5.58399
1415	5.58975
1416	5.59386
1417	5.59339
1418	5.59779
1419	5.60377
1420	5.60836
1421	5.61369
1422	5.61956
1423	5.62374
1424	5.62622
1425	5.62998
1426	5.63467
1427	5.63952
1428	5.64145
1429	5.64537
1430	5.6497
1431	5.64956
1432	5.64288
1433	5.6421
1434	5.64515
1435	5.64927
1436	5.64286
1437	5.63627
1438	5.62924
1439	5.62224
1440	5.61591
1441	5.61348
1442	5.61377
1443	5.61491
1444	5.61386
1445	5.61701
1446	5.61287
1447	5.60401
1448	5.59723
1449	5.59147
1450	5.58548
1451	5.57974
1452	5.5893
1453	5.59592
1454	5.60125
1455	5.60379
1456	5.59955
1457	5.60284
1458	5.60974
1459	5.60396
1460	5.59684
1461	5.59309
1462	5.5862
1463	5.58892
1464	5.59162
1465	5.59817
1466	5.60398
1467	5.6056
1468	5.60962
1469	5.61555
1470	5.62025
1471	5.61661
1472	5.61999
1473	5.61886
1474	5.61726
1475	5.62315
1476	5.62809
1477	5.63091
1478	5.63082
1479	5.63432
1480	5.6372
1481	5.63848
1482	5.63948
1483	5.64454
1484	5.63872
1485	5.63146
1486	5.62405
1487	5.61693
1488	5.61635
1489	5.61367
1490	5.61594
1491	5.60966
1492	5.60279
1493	5.59596
1494	5.58858
1495	5.57786
1496	5.58653
1497	5.5792
1498	5.57632
1499	5.5755
1500	5.56814
1501	5.56213
1502	5.55746
1503	5.54999
1504	5.54262
1505	5.53553
1506	5.53668
1507	5.5293
1508	5.52217
1509	5.51506
1510	5.51064
1511	5.50454
1512	5.49988
1513	5.49286
1514	5.48554
1515	5.47824
1516	5.47167
1517	5.46461
1518	5.45701
1519	5.44969
1520	5.4455
1521	5.43858
1522	5.431
1523	5.424
1524	5.41657
1525	5.40882
1526	5.40116
1527	5.39364
1528	5.40272
1529	5.39738
1530	5.40554
1531	5.41233
1532	5.41779
1533	5.40967
1534	5.40183
1535	5.39397
1536	5.38633
1537	5.37975
1538	5.38048
1539	5.38639
1540	5.38554
1541	5.37748
1542	5.38783
1543	5.39371
1544	5.38571
1545	5.37768
1546	5.37466
1547	5.37006
1548	5.37493
1549	5.36757
1550	5.35962
1551	5.33792
1552	5.3303
1553	5.32218
1554	5.31433
1555	5.30816
1556	5.30558
1557	5.31284
1558	5.3224
1559	5.33011
1560	5.32721
1561	5.3213
1562	5.31305
1563	5.30492
1564	5.29685
1565	5.28853
1566	5.28039
1567	5.27357
1568	5.28074
1569	5.28855
1570	5.29327
1571	5.28819
1572	5.28259
1573	5.27524
1574	5.26716
1575	5.26003
1576	5.2514
1577	5.24418
1578	5.23679
1579	5.22867
1580	5.22305
1581	5.216
1582	5.20783
1583	5.21493
1584	5.20728
1585	5.19998
1586	5.19012
1587	5.19691
1588	5.20078
1589	5.20673
1590	5.19955
1591	5.19195
1592	5.19281
1593	5.19852
1594	5.20223
1595	5.19276
1596	5.1947
1597	5.18662
1598	5.18973
1599	5.19628
1600	5.18861
1601	5.18484
1602	5.18855
1603	5.18302
1604	5.17994
1605	5.18685
1606	5.18217
1607	5.17402
1608	5.17225
1609	5.16981
1610	5.162
1611	5.15482
1612	5.14759
1613	5.13982
1614	5.13491
1615	5.12716
1616	5.12945
1617	5.12237
1618	5.11544
1619	5.10861
1620	5.10074
1621	5.10244
1622	5.10191
1623	5.10839
1624	5.10114
1625	5.09313
1626	5.09997
1627	5.09216
1628	5.08495
1629	5.09242
1630	5.09898
1631	5.09254
1632	5.08635
1633	5.08864
1634	5.0809
1635	5.07315
1636	5.06804
1637	5.07636
1638	5.08119
1639	5.07596
1640	5.07877
1641	5.08673
1642	5.09389
1643	5.08629
1644	5.08382
1645	5.08719
1646	5.09393
1647	5.09602
1648	5.1038
1649	5.11122
1650	5.11779
1651	5.12451
1652	5.13089
1653	5.13622
1654	5.13625
1655	5.1383
1656	5.14312
1657	5.14894
1658	5.15461
1659	5.15824
1660	5.16483
1661	5.16975
1662	5.17129
1663	5.17717
1664	5.18198
1665	5.18615
1666	5.19185
1667	5.19509
1668	5.18655
1669	5.1788
1670	5.18163
1671	5.18566
1672	5.19217
1673	5.19708
1674	5.196
1675	5.20164
1676	5.20619
1677	5.20933
1678	5.21451
1679	5.21958
1680	5.22523
1681	5.23075
1682	5.23508
1683	5.22548
1684	5.22275
1685	5.22727
1686	5.23336
1687	5.23653
1688	5.23679
1689	5.22907
1690	5.2247
1691	5.2207
1692	5.22402
1693	5.23192
1694	5.23926
1695	5.24578
1696	5.25209
1697	5.25761
1698	5.26187
1699	5.26612
1700	5.26066
1701	5.26476
1702	5.26848
1703	5.26406
1704	5.26778
1705	5.27404
1706	5.28013
1707	5.28502
1708	5.29069
1709	5.29795
1710	5.30417
1711	5.30994
1712	5.3158
1713	5.3214
1714	5.3269
1715	5.32286
1716	5.32994
1717	5.33253
1718	5.33969
1719	5.33959
1720	5.33254
1721	5.33925
1722	5.33464
1723	5.34126
1724	5.34745
1725	5.35496
1726	5.3573
1727	5.36345
1728	5.3689
1729	5.37309
1730	5.37953
1731	5.38475
1732	5.39071
